Spring_Name,Distance_to_spring_m,Species,Height_m,Age_yrs,Growth_Rate,Method
Ceanothus,0_10,PSME,0.3,6,0.05,whorl
Ceanothus,0_10,PSME,0.1,3,0.033333333,whorl
Ceanothus,0_10,PSME,4.1,14,0.292857143,borer
Ceanothus,0_10,PSME,0.55,11,0.05,whorl
Ceanothus,0_10,PICO,0.5,5,0.1,whorl
Ceanothus,0_10,PICO,0.25,4,0.0625,whorl
Ceanothus,10_20,PICO,0.7,6,0.116666667,whorl
Ceanothus,20_30,PSME,1.75,15,0.116666667,whorl
Ceanothus,20_30,PICO,0.5,5,0.1,whorl
Ceanothus,20_30,PSME,2.7,13,0.207692308,borer
Ceanothus,20_30,PICO,7.2,33,0.218181818,borer
Aspens,0_10,PSME,0.28,9,0.031111111,whorl
Aspens,10_20,PSME,0.27,9,0.03,whorl
Aspens,0_10,PSME,0.33,8,0.04125,whorl
Aspens,0_10,PSME,0.98,16,0.06125,whorl
Aspens,10_20,PSME,1.9,12,0.158333333,borer
Wolf Skull,0_10,PICO,0.6,7,0.085714286,whorl
Wolf Skull,0_10,PICO,0.4,5,0.08,whorl
Wolf Skull,10_20,PSME,0.55,10,0.055,whorl
Wolf Skull,20_30,PSME,6.6,19,0.347368421,borer
Wolf Skull,30_40,PSME,2.65,16,0.165625,whorl
Wolf Skull,0_10,PICO,12,26,0.461538462,borer
Fireweed,0_10,PIPO,0.55,6,0.091666667,whorl
Fireweed,0_10,PSME,1.1,10,0.11,whorl
Fireweed,0_10,PSME,0.2,4,0.05,whorl
Fireweed,0_10,PSME,2.05,11,0.186363636,whorl
Fireweed,10_20,PICO,4,13,0.307692308,borer
Fireweed,10_20,PSME,0.75,11,0.068181818,whorl
Fireweed,20_30,PSME,0.5,5,0.1,whorl
Fireweed,20_30,PICO,5.5,15,0.366666667,borer
Fireweed,30_40,PSME,2.4,13,0.184615385,whorl
Little Hole,0_10,PIPO,0.55,6,0.091666667,whorl
Little Hole,0_10,PSME,0.9,11,0.081818182,whorl
Black Talus,20_30,PIPO,0.75,9,0.083333333,whorl
Black Talus,20_30,PIPO,0.55,7,0.078571429,whorl
Black Talus,20_30,PIPO,0.45,5,0.09,whorl
Big Joe,0_10,PSME,1.45,12,0.120833333,whorl
Big Joe,30_40,PSME,0.4,6,0.066666667,whorl
West Goat,0_10,PIPO,2.7,12,0.225,whorl
West Goat,0_10,PSME,1.4,11,0.127272727,whorl
West Goat,0_10,PSME,1.05,9,0.116666667,whorl
West Goat,0_10,PIPO,0.3,2,0.15,whorl
West Goat,0_10,PIPO,0.55,6,0.091666667,whorl
West Goat,20_30,PSME,0.6,9,0.066666667,whorl
West Goat,30_40,PIPO,0.5,4,0.125,whorl
Gun Shot,0_10,PSME,3.2,17,0.188235294,borer
Gun Shot,0_10,PSME,1.3,11,0.118181818,whorl
Gun Shot,0_10,PSME,5.4,9,0.6,borer
Meadow,0_10,PIPO,2.5,9,0.277777778,borer
Meadow,0_10,PSME,4.6,16,0.2875,borer
Meadow,0_10,PICO,5,17,0.294117647,borer
Meadow,10_20,PSME,0.7,8,0.0875,whorl
Meadow,20_30,PSME,1.15,13,0.088461538,whorl
Charred Snag,0_10,PICO,9,19,0.473684211,borer
Charred Snag,10_20,PICO,5.1,14,0.364285714,borer
Charred Snag,10_20,PICO,1.1,14,0.078571429,whorl
Charred Snag,20_30,PICO,5.5,18,0.305555556,borer
Charred Snag,0_10,PSME,4.8,15,0.32,borer
